place_id,attraction,address,category,price_adult,price_child,time_min_hours,time_avg_hours,google_rating,num_reviews,avg_utility,avg_utility2
0,Montreal Biodome,"4777 Pierre-de Coubertin Ave, Montreal, Quebec H1V 1B3",Nature,18.75,9.5,1,2,4.4,5633,8.8,8
1,Cap-Saint-Jacques Nature Park,"20099 Boul Gouin O, Pierrefonds, QC H9K 1C6",Nature,0,0,2,3,4.5,2576,13.5,16
2,Montreal Chinatown,"2 Rue De La Gauchetière O, Montréal, QC H2Z 1B9",Heritage,0,0,0.5,2,4.3,171,8.6,12
3,Circuit Gilles Villeneuve,"Parc Jean-Drapeau, Montréal, QC H3C 6A1",Entertainment,0,0,1,3,4.5,8214,13.5,11
4,Ecomuseum Zoo,"21125 Sainte Marie Rd, Sainte-Anne-de-Bellevue, QC H9X 3Y7",Nature,15,9,1.5,2.5,4.4,3444,11,11
5,Habitat 67,"2600 Av Pierre-Dupuy, Montréal, QC H3C 3R6",Heritage,0,0,2,3,4.5,281,13.5,9
6,Jean-Talon Market,"7070 Henri Julien Ave, Montreal, QC H2S 3S3",Food,10,5,0.3,1,4.6,19663,4.6,11
7,Saint Joseph's Oratory,"3800 Queen Mary Rd, Montreal, Quebec H3V 1H6",Heritage,0,0,2,3,4.7,12398,14.1,20
8,La Ronde,"22 Chem. Macdonald, Montréal, QC H3C 6A3",Entertainment,40,40,1,6,4.1,14122,24.6,8
9,"Mary, Queen Of The World Cathedral","1085 Rue de la Cathédrale, Montréal, QC H3B 2V3",Heritage,0,0,0.15,1,4.7,1989,4.7,14
10,Montreal Botanical Garden,"4101 Sherbrooke St E, Montreal, QC H1X 2B2",Nature,20.5,10.25,2,3,4.6,18908,13.8,7
11,Montreal Casino,"1 Avenue du Casino, Montréal, QC H3C 4W7",Entertainment,100,Unavailable,0.25,3.5,4.3,12062,15.05,14
12,Montreal Clock Tower,"1 Clock Tower Quay St, Montreal, QC H2L 5C1",Heritage,0,0,1,2,4.5,1334,9,15
13,Montreal Museum Of Fine Arts,"1380 Sherbrooke St W, Montreal, QC H3G 1J5",Museum,24,0,2,6,4.7,10821,28.2,7
14,Montreal Science Center,"2 de la Commune St W, Montreal, QC H2Y 4B2",Museum,22,11,3,4,4.4,4090,17.6,13
15,Mount Royal Park,"1260 Remembrance Rd, Montreal, QC H3H 1A2",Nature,0,0,2,3,4.7,23727,14.1,7
16,Musee Grevin Montreal,"705 Saint-Catherine St W, Montreal, Quebec H3B 4G5",Museum,20,15,1,2,4.4,1602,8.8,19
17,Notre-Dame Basilica of Montreal,"110 Notre-Dame St W, Montreal, Quebec H2Y 1T1",Heritage,6,4,0.15,1,4.7,20317,4.7,13
18,Notre-Dame-de-Bon-Secours Chapel,"400, rue Saint-Paul Est; Montreal, Quebec H2Y 1H4",Heritage,0,0,1,2,4.6,831,9.2,5
19,Observatoire Place Ville Marie,"01 Place Ville Marie, Montreal, Quebec H3B 4S6",Heritage,19,9,1,2,4.5,1054,9,13
20,Olympic Stadium,"4141 Pierre-de Coubertin Ave, Montreal, QC H1V 3N7",Entertainment,33.5,16.5,1,1.5,4.4,3676,6.6,14
21,Parc Jean-Drapeau,"1 Circuit Gilles Villeneuve, Montréal, QC H3C 1A9",Nature,0,0,3,4,4.3,111,17.2,6
22,Redpath Museum,"859 Sherbrooke St W, Montreal, QC H3A 0C4",Museum,10,0,3,4,4.5,1406,18,16
23,Rio Tinto Alcan Planetarium,"4801 Pierre-de Coubertin Ave, Montreal, QC H1V 3N4",Museum,20.25,10.25,2,4,4.2,588,16.8,5
24,Schwartzus Deli,"3895 St Laurent Blvd, Montreal, QC H2W 1X9",Food,14,7,0.25,1,4.4,13966,4.4,9
25,Marche Atwater,"138 Atwater Ave, Montreal, Quebec H4C 2H6",Nature,10,5,0.3,1,4.5,9734,4.5,18
26,La Grande Roue de Montreal,"362 Rue de la Commune E, Montréal, QC H2Y 0B4",Entertainment,25,19.75,0.5,1,4.3,981,4.3,9
27,Canadian Railway Museum,"110 Rue St Pierre, Saint-Constant, QC J5A 1G7",Museum,21.2,12.75,3,4,4.6,1760,18.4,9
28,Montreal City Hall,"275 Notre-Dame St. East, Montreal, Quebec H2Y 1C6",Heritage,0,0,0.25,1,4.2,212,4.2,5
29,Tyrolienne MTL Zipline,"Hangar 16, 363 Rue de la Commune E, Montréal, QC",Entertainment,20,17,0.3,0.5,4.5,712,2.25,14
h9,"The Ritz-Carlton, Montreal",,,501,,,0,,,,
,Trudeau Airport,,,0,,,0,,,,
dummy,dummy,,,0,,,0,,,,